participant_id,blendshape_scriptID,average_frame_rate_OF,average_frame_rate_ARKIT,n_frames_OF,n_frame_ARKIT,max_lag,delay_ms,max_corr
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_001,57.93499043977055,60.001590042136115,304,321,-19,0.316658275,0.9284598869587031
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_002,58.06203537554474,60.00158566558313,454,474,-21,0.34999075052854123,0.9517059061891622
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_003,58.35389751778197,60.001590472780954,403,419,-18,0.29999204784688993,1.054461776717789
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_004,58.01549028204004,59.85701114280191,398,415,-21,0.3508360942028986,1.121891232941966
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_005,58.1159787287921,59.876324074716635,460,479,-21,0.3507229330543933,1.7144537740541423
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_006,58.46879916098584,59.91488617862422,670,692,-22,0.3671875455861071,1.614154445449076
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_007,58.141140726419,60.001590042136115,422,441,-19,0.316658275,2.2338952180201526
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_008,57.76836158192091,60.001587949001994,410,431,-21,0.34999073720930235,2.7521414234374486
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_009,58.29530398940085,59.85595249971419,397,412,-17,0.28401519464720193,1.128451725343255
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_010,58.17711700064641,59.84200752541171,361,376,-20,0.33421338666666667,1.620816482052858
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_011,58.53314527503526,59.92366706659935,748,770,-22,0.3671337399219766,1.544323836604037
