Nets,Epochs,"Training Time
 (seconds)",Best Loss,"Testing Time
 (seconds)","Mean Score
 Loss","Mean
 R2
 Score","Mean Cosine
 Similarity 
 Score","Mean 
 Activation
 Recall","Mean
 Activation 
 Precision"
"GRUNet
 Trained with L1",46,349,0.018,1,0.020,0.63,0.86,0.76,0.92
"GRUNet
 Trained with MSE",87,576,0.0014,1,0.0013,0.77,0.91,0.82,0.91
"GRUNet
 Trained with RMSE",63,516,0.029,1,0.035,0.76,0.81,0.83,0.91
"GRUNetNeg
 Trained with L1",73,657,0.013,1.6,0.0175,0.73,0.9,1,0.63
"GRUNetNeg
 Trained with MSE",62,497,0.0016,1,0.0014,0.74,0.9,1,0.63
"GRUNetNeg
 Trained with RMSE",48,454,0.032,0.7,0.034,0.74,0.9,1,0.63
"GRUNetPack
 Trained with L1",69,1860,0.062,1.3,0.016,0.74,0.9,0.83,0.95
"GRUNetPack
 Trained with MSE",92,2240,0.0045,1.3,0.0013,0.78,0.92,0.84,0.92
"GRUNetPack
 Trained with RMSE",56,1661,0.133,1.3,0.035,0.77,0.91,0.82,0.90
"GRUNetSig
 Trained with L1",50,1896,0.086,1.4,0.024,0.6,0.85,0.88,0.81
"GRUNetSig
 Trained with MSE",100,3460,0..204,1.4,0.002,0.65,0.87,0.88,0.83
"GRUNetSig
 Trained with RMSE",96,3805,0.155,1.5,0.043,0.64,0.87,0.88,0.83
"GRUNetSeq
 Trained with L1",62,12909,0.067,3.9,0.017,0.75,0.90,1.0,0.64
"GRUNetSeq
 Trained with MSE",54,11358,0.0047,4,0.0013,0.76,0.91,1.0,0.63
"GRUNetSeq
 Trained with RMSE",59,12400,0.124,3.83,0.0032,0.78,0.92,1.0,0.63
"FCNet
 Trained with L1",22,373,0.11,0.8,0.028,0.39,0.75,0.73,0.85
"FCNet
 Trained with MSE",32,447,0.0124,0.8,0.0033,0.39,0.77,0.79,0.78
"FCNet
 Trained with RMSE",24,445,0.199,0.8,0.050,0.5,0.8,0.8,0.78
